characters
Tyson
Percy Jackson
Frank Zhang
Annabeth Chase
Hazel Levesque
Ares
Zoë Nightshade
Grover Underwood
Demeter
Poseidon
Juniper
Arachne
Selena Beauregard
Reyna Avila Ramírez-Arellano
Lityerses
Chiron
Rachel Elizabeth Dare
Coach Gleeson Hedge
Aphrodite
Clarisse La Rue
Bianca di Angelo
Piper McLean
Calypso
Athena
Leo Valdez
Ethan Nakamura
Travis and Connor Stoll
Nico di Angelo
Hera
Octavian
Will Solace
Jason Grace
Thalia Grace
Luke Castellan
Hephaestus
Charles Beckendorf
